,train,val,test
0,normal_115,normal_148,normal_151
1,normal_064,test_103,normal_087
2,normal_106,test_112,test_055
3,normal_058,normal_076,normal_139
4,normal_145,normal_066,normal_052
5,normal_085,normal_103,normal_065
6,normal_154,normal_108,test_006
7,normal_134,test_025,normal_045
8,normal_117,normal_138,normal_128
9,normal_040,test_078,test_045
10,normal_008,normal_002,test_111
11,normal_127,test_080,normal_067
12,normal_070,test_036,test_062
13,normal_072,normal_039,test_081
14,normal_041,normal_093,normal_077
15,normal_159,normal_075,test_023
16,normal_078,normal_048,test_101
17,normal_126,normal_130,normal_094
18,normal_101,normal_029,test_088
19,normal_089,test_005,test_100
20,normal_003,normal_037,normal_034
21,normal_007,normal_006,test_015
22,normal_001,normal_082,test_057
23,normal_104,normal_124,normal_135
24,normal_016,tumor_033,tumor_048
25,normal_026,tumor_031,tumor_011
26,normal_057,tumor_053,tumor_044
27,normal_116,tumor_085,test_116
28,normal_150,tumor_052,tumor_094
29,normal_073,test_073,tumor_098
30,normal_010,test_099,tumor_032
31,normal_059,tumor_079,test_008
32,normal_114,tumor_080,tumor_096
33,normal_080,tumor_063,test_097
34,normal_018,tumor_078,test_052
35,normal_036,tumor_047,tumor_013
36,normal_125,tumor_021,tumor_040
37,normal_119,tumor_109,test_040
38,normal_152,tumor_018,tumor_023
39,normal_071,tumor_103,tumor_082
40,normal_137,,
41,normal_043,,
42,normal_061,,
43,normal_157,,
44,normal_038,,
45,normal_062,,
46,normal_149,,
47,normal_160,,
48,normal_156,,
49,normal_120,,
50,normal_142,,
51,normal_042,,
52,normal_056,,
53,normal_055,,
54,normal_053,,
55,normal_090,,
56,normal_035,,
57,normal_009,,
58,normal_107,,
59,normal_044,,
60,normal_092,,
61,normal_047,,
62,normal_051,,
63,normal_017,,
64,normal_074,,
65,normal_131,,
66,normal_118,,
67,normal_146,,
68,normal_049,,
69,normal_132,,
70,normal_033,,
71,normal_144,,
72,normal_063,,
73,normal_100,,
74,normal_129,,
75,normal_019,,
76,normal_111,,
77,normal_046,,
78,normal_109,,
79,normal_025,,
80,normal_084,,
81,normal_095,,
82,normal_136,,
83,normal_030,,
84,normal_113,,
85,normal_024,,
86,normal_083,,
87,normal_032,,
88,normal_068,,
89,normal_004,,
90,normal_112,,
91,normal_069,,
92,normal_105,,
93,normal_143,,
94,normal_060,,
95,test_003,,
96,test_007,,
97,test_009,,
98,test_012,,
99,test_014,,
100,test_017,,
101,test_018,,
102,test_019,,
103,test_020,,
104,normal_020,,
105,test_022,,
106,test_024,,
107,test_028,,
108,normal_088,,
109,test_031,,
110,test_032,,
111,test_034,,
112,test_035,,
113,test_037,,
114,test_039,,
115,normal_153,,
116,test_041,,
117,test_042,,
118,test_043,,
119,test_044,,
120,test_047,,
121,test_050,,
122,test_053,,
123,test_054,,
124,test_056,,
125,test_058,,
126,test_059,,
127,test_060,,
128,test_063,,
129,test_067,,
130,test_070,,
131,normal_091,,
132,test_072,,
133,test_076,,
134,test_077,,
135,normal_081,,
136,test_083,,
137,test_085,,
138,test_086,,
139,test_087,,
140,test_089,,
141,test_091,,
142,test_093,,
143,test_095,,
144,test_096,,
145,test_098,,
146,test_106,,
147,test_107,,
148,test_109,,
149,test_115,,
150,test_118,,
151,test_119,,
152,test_120,,
153,test_123,,
154,test_124,,
155,test_125,,
156,test_126,,
157,test_127,,
158,test_128,,
159,test_129,,
160,test_130,,
161,normal_158,,
162,normal_133,,
163,normal_012,,
164,normal_141,,
165,normal_054,,
166,normal_027,,
